Index,0 Name [0x0],1 Description [0x30],2 Icon [0x8],3 Category (ActionCategory) [0x1C],4 Start Timeline (ActionTimeline) [0xA],5 [UBYTE] [0x1D],6 End Timeline (ActionTimeline) [0x1A],7 [USHORT] [0xC],8 [UBYTE] [0x1E],9 [BYTE] [0x2C],10 [UBYTE] [0x1F],11 [BYTE] [0x2D],12 [BBOOL] [0x30],13 [BBOOL] [0x30],14 [BBOOL] [0x30],15 [BBOOL] [0x30],16 [BBOOL] [0x30],17 [BBOOL] [0x30],18 [BBOOL] [0x30],19 [BBOOL] [0x31],20 [BBOOL] [0x31],21 [BYTE] [0x2E],22 [BBOOL] [0x31],23 [BBOOL] [0x31],24 [UBYTE] [0x20],25 [UBYTE] [0x21],26 [UBYTE] [0x22],27 [BBOOL] [0x31],28 [UBYTE] [0x23],29 [USHORT] [0xE],30 [UBYTE] [0x24],31 [USHORT] [0x10],32 [USHORT] [0x12],33 [BBOOL] [0x31],34 [USHORT] [0x14],35 [USHORT] [0x16],36 [UBYTE] [0x25],37 [BYTE] [0x2F],38 [UBYTE] [0x26],39 [UBYTE] [0x27],40 [USHORT] [0x18],41 [UINT] [0x4],42 [UBYTE] [0x28],43 [UBYTE] [0x29],44 [BBOOL] [0x31],45 [BBOOL] [0x31],46 [UBYTE] [0x2A],47 [BBOOL] [0x32],48 [BBOOL] [0x32],49 [BBOOL] [0x32],50 [BBOOL] [0x32],51 [BBOOL] [0x32],52 [BBOOL] [0x32],53 [BBOOL] [0x32],54 [BBOOL] [0x32],55 [BBOOL] [0x33],56 [UBYTE] [0x2B],57 [BBOOL] [0x33],58 [BBOOL] [0x33]
0,"",false,405,0,0,0,0,0,0,-1,0,0,false,false,false,false,false,false,false,false,false,0,true,true,0,0,0,false,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
1,"任务道具",false,405,8,83,0,85,1875,0,0,0,3,false,false,false,true,true,true,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,false,0,0,0,0,0,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,true
2,"任务指令",false,405,8,92,0,0,1875,0,0,0,3,false,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,50,0,0,0,0,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
3,"冲刺",false,405,0,0,0,368,1875,0,0,0,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,18,0,0,0,0,true,0,300,56,0,0,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,true
4,"坐骑",false,405,5,83,0,165,1875,0,0,0,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,10,0,0,0,0,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,true
5,"传送",false,111,10,92,106,164,1875,0,0,0,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,50,0,0,0,0,0,0,4,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,true,true
6,"返回",false,112,10,92,107,163,1875,0,0,0,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,false,50,9000,57,0,0,0,0,1,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,true,true
7,"攻击",false,405,1,0,0,-1,1875,0,0,0,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,0,0,-1,7,0,0,0,1,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
8,"射击",false,405,1,0,0,-2,1876,0,0,0,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,0,0,-1,7,0,0,0,0,0,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
9,"先锋剑",false,158,3,0,0,310,1875,0,1,1,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,0,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
10,"铁壁",false,152,4,0,0,369,1875,0,1,2,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,5,0,0,0,0,0,38,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
11,"狂怒剑",false,157,3,0,0,311,1875,206,1,4,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,9,false,0,25,58,-1,7,0,0,0,39,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
12,"渐愈",false,162,4,0,0,370,1875,0,1,10,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,7,0,0,0,0,0,37,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
13,"警觉",false,163,4,0,0,371,1875,0,1,34,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,8,0,0,0,0,0,37,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false,false
14,"闪光",false,159,2,102,85,441,1875,0,1,8,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,3,8,0,0,0,true,0,25,58,5,7,0,0,0,37,1,true,false,0,false,false,false,true,true,true,false,false,true,0,false,false
