Index,0 [STRING] [0x0],1 [UINT] [0x4],2 [UINT] [0x8],3 [BBOOL] [0xF],4 [UBYTE] [0xC],5 [UBYTE] [0xD],6 [UBYTE] [0xE]
0,"",0,0,false,0,0,0
1,"随机任务",61807,0,true,0,0,0
2,"迷宫挑战",61801,60831,true,1,1,155
3,"行会令",61803,60833,false,2,2,160
4,"讨伐歼灭战",61804,60834,true,1,3,157
5,"大型任务",61802,60832,true,1,4,156
6,"对战",61806,60836,false,1,5,0
7,"任务战斗",61805,60835,false,0,0,0
8,"危命任务",61809,0,false,0,0,0
9,"寻宝",61808,60838,true,0,0,0
10,"理符任务",61811,0,false,0,0,0
11,"大国防联军",61812,0,false,0,0,0
12,"搭档",61813,0,false,0,0,0
13,"蛮族任务",61814,0,false,0,0,0
14,"完成情况",61810,0,false,0,0,0
15,"最优队员",61817,0,false,0,0,0
16,"大地使者",61815,0,false,0,0,0
17,"能工巧匠",61816,0,false,0,0,0
18,"雇员",61818,0,false,0,0,0
19,"金碟游乐场",61820,0,false,1,0,0
20,"",61823,60846,false,0,0,0
21,"深层迷宫",61824,60847,false,0,0,158
22,"",61801,60831,false,0,0,0
23,"",61821,61821,true,2,0,0
24,"天书奇谈",61825,0,false,0,0,0
25,"老主顾交易",61827,0,false,0,0,0
26,"优雷卡",61833,60851,false,0,0,159
