Index,0 [USHORT] [0x0],1 [USHORT] [0x2],2 [BBOOL] [0x5],3 [BBOOL] [0x5],4 [BBOOL] [0x5],5 [BBOOL] [0x5],6 [UBYTE] [0x4],7 [BBOOL] [0x5]
0,0,0,true,true,false,false,0,false
1,52,53,false,true,true,false,11,false
2,50,51,false,true,true,true,11,false
3,88,89,false,true,true,true,11,false
4,101,0,true,false,false,false,3,false
5,102,0,true,false,false,false,3,false
6,103,0,true,false,false,false,3,false
7,104,0,true,false,false,false,3,false
8,109,0,true,true,false,false,3,false
9,114,0,true,false,false,false,3,true
10,118,0,true,true,false,false,3,false
11,119,0,true,true,false,false,3,false
12,120,0,true,false,false,false,3,false
13,126,0,true,true,false,false,3,false
14,129,0,true,true,false,false,3,false
15,130,0,true,false,false,false,3,true
16,131,0,true,false,false,false,3,true
17,132,0,true,false,false,false,3,true
18,134,0,true,false,false,false,3,true
19,135,0,true,false,false,false,3,true
20,136,0,true,false,false,false,3,true
21,143,0,true,true,false,false,3,true
22,145,0,true,false,false,false,3,false
23,149,0,true,false,false,false,3,false
24,150,0,true,false,false,false,3,false
25,155,0,true,false,false,false,3,false
26,156,0,true,true,false,false,3,false
27,157,0,true,true,false,false,3,false
28,158,0,true,false,false,false,3,false
29,164,0,true,false,false,false,3,false
30,165,0,true,false,false,false,3,false
31,166,0,true,false,false,false,3,false
32,167,0,true,false,false,false,3,false
33,64,0,true,false,false,false,3,false
34,65,0,true,false,false,false,3,false
35,66,0,true,false,false,false,3,false
36,67,0,true,false,false,false,3,false
37,169,0,true,false,false,false,3,false
38,170,0,true,false,false,false,3,false
39,173,0,true,false,false,false,3,false
40,174,0,true,false,false,false,3,false
41,176,0,true,false,false,false,3,false
42,180,0,true,false,false,false,3,false
43,181,0,true,false,false,false,3,false
44,185,0,true,false,false,false,3,false
45,186,0,true,false,false,false,3,false
46,187,0,true,false,false,false,3,false
47,188,0,true,false,false,false,3,false
48,189,0,true,false,false,false,3,false
49,0,0,true,true,false,false,0,false
50,0,0,true,true,false,false,0,false
51,0,0,true,true,false,false,0,false
52,0,0,true,true,false,false,0,false
53,0,0,true,true,false,false,0,false
54,0,0,true,true,false,false,0,false
55,0,0,true,true,false,false,0,false
56,0,0,true,true,false,false,0,false
57,0,0,true,true,false,false,0,false
58,0,0,true,true,false,false,0,false
59,0,0,true,true,false,false,0,false
60,0,0,true,true,false,false,0,false
