Index,0 [STRING] [0x0],1 [BYTE] [0xC],2 [STRING] [0x4],3 [BYTE] [0xD],4 [BYTE] [0xE],5 [BYTE] [0xF],6 [BYTE] [0x10],7 [BYTE] [0x11],8 [STRING] [0x8],9 [UBYTE] [0x14]
1000000,"",0,"",0,0,1,0,0,"",3
1000001,"",0,"",0,0,0,0,0,"",0
1000002,"",0,"",0,0,0,0,0,"",0
1000003,"",0,"",0,0,0,0,0,"",0
1000004,"",0,"",0,0,0,0,0,"",0
1000005,"",0,"",0,0,0,0,0,"",0
1000006,"",0,"",0,0,0,0,0,"",0
1000007,"",0,"",0,0,0,0,0,"",0
1000008,"",0,"",0,0,0,0,0,"",0
1000009,"",0,"",0,0,0,0,0,"",0
1000010,"",0,"",0,0,0,0,0,"",0
1000011,"",0,"",0,0,0,0,0,"",0
1000012,"",0,"",0,0,0,0,0,"",0
1000013,"",0,"",0,0,0,0,0,"",0
1000014,"",0,"",0,0,0,0,0,"",0
1000015,"",0,"",0,0,0,0,0,"",0
1000016,"",0,"",0,0,0,0,0,"",0
1000017,"",0,"",0,0,0,0,0,"",0
1000018,"",0,"",0,0,0,0,0,"",0
1000019,"",0,"",0,0,0,0,0,"",0
1000020,"",0,"",0,0,0,0,0,"",0
1000021,"",0,"",0,0,0,0,0,"",0
1000022,"",0,"",0,0,0,0,0,"",0
1000023,"",0,"",0,0,0,0,0,"",0
1000024,"",0,"",0,0,0,0,0,"",0
1000025,"",0,"",0,0,0,0,0,"",0
1000026,"",0,"",0,0,0,0,0,"",0
1000027,"",0,"",0,0,0,0,0,"",0
1000028,"",0,"",0,0,0,0,0,"",0
1000029,"",0,"",0,0,0,0,0,"",0
1000030,"",0,"",0,0,0,0,0,"",0
1000031,"",0,"",0,0,0,0,0,"",0
1000032,"",0,"",0,0,0,0,0,"",0
1000033,"",0,"",0,0,0,0,0,"",0
1000034,"",0,"",0,0,0,0,0,"",0
1000035,"",0,"",0,0,0,0,0,"",0
1000036,"",0,"",0,0,0,0,0,"",0
1000037,"",0,"",0,0,0,0,0,"",0
1000038,"",0,"",0,0,0,0,0,"",0
1000039,"",0,"",0,0,0,0,0,"",0
1000040,"",0,"",0,0,0,0,0,"",0
1000041,"",0,"",0,0,0,0,0,"",0
1000042,"",0,"",0,0,0,0,0,"",0
1000043,"",0,"",0,0,0,0,0,"",0
1000044,"",0,"",0,0,0,0,0,"",0
1000045,"",0,"",0,0,0,0,0,"",0
1000046,"",0,"",0,0,0,0,0,"",0
1000047,"",0,"",0,0,0,0,0,"",0
1000048,"",0,"",0,0,0,0,0,"",0
1000049,"",0,"",0,0,0,0,0,"",0
1000050,"",0,"",0,0,0,0,0,"",0
1000051,"",0,"",0,0,0,0,0,"",0
1000052,"",0,"",0,0,0,0,0,"",0
1000053,"",0,"",0,0,0,0,0,"",0
1000054,"",0,"",0,0,0,0,0,"",0
1000055,"",0,"",0,0,0,0,0,"",0
1000056,"",0,"",0,0,0,0,0,"",0
1000057,"",0,"",0,0,0,0,0,"",0
1000058,"",0,"",0,0,0,0,0,"",0
1000059,"",0,"",0,0,0,0,0,"",0
1000060,"",0,"",0,0,0,0,0,"",0
1000061,"",0,"",0,0,0,0,0,"",0
1000062,"",0,"",0,0,0,0,0,"",0
1000063,"邮差莫古力",0,"",0,0,1,0,0,"",3
1000064,"",0,"",0,0,0,0,0,"",0
1000065,"",0,"",0,0,0,0,0,"",0
1000066,"",0,"",0,0,0,0,0,"",0
1000067,"",0,"",0,0,0,0,0,"",0
1000068,"",0,"",0,0,0,0,0,"",0
1000069,"",0,"",0,0,0,0,0,"",0
1000070,"",0,"",0,0,0,0,0,"",0
1000071,"",0,"",0,0,0,0,0,"",0
1000072,"",0,"",0,0,0,0,0,"",0
1000073,"",0,"",0,0,0,0,0,"",0
1000074,"",0,"",0,0,0,0,0,"",0
1000075,"",0,"",0,0,0,0,0,"",0
1000076,"",0,"",0,0,0,0,0,"",0
1000077,"",0,"",0,0,0,0,0,"",0
1000078,"",0,"",0,0,0,0,0,"",0
1000079,"",0,"",0,0,0,0,0,"",0
1000080,"",0,"",0,0,1,0,0,"",3
1000081,"",0,"",0,0,1,0,0,"",3
1000082,"",0,"",0,0,1,0,0,"",3
1000083,"",0,"",0,0,1,0,0,"",3
1000084,"",0,"",0,0,1,0,0,"",3
1000085,"",0,"",0,0,1,0,0,"",3
1000086,"",0,"",0,0,1,0,0,"",3
1000087,"",0,"",0,0,1,0,0,"",3
1000088,"",0,"",0,0,1,0,0,"",3
1000089,"",0,"",0,0,1,0,0,"",3
1000090,"",0,"",0,0,1,0,0,"",3
1000091,"",0,"",0,0,1,0,0,"",3
1000092,"",0,"",0,0,1,0,0,"",3
1000093,"",0,"",0,0,1,0,0,"",3
1000094,"",0,"",0,0,1,0,0,"",3
1000095,"",0,"",0,0,1,0,0,"",3
1000096,"",0,"",0,0,1,0,0,"",3
1000097,"",0,"",0,0,1,0,0,"",3
1000098,"",0,"",0,0,1,0,0,"",3
1000099,"",0,"",0,0,1,0,0,"",3
1000100,"缪恩",0,"",0,0,1,0,0,"魔女咖啡馆总管",3
1000101,"贡特朗",0,"",0,0,1,0,0,"理符发行人",3
1000102,"安托瓦诺",0,"",0,0,1,0,0,"旅馆接待员",3
1000103,"未使用：",0,"",0,0,1,0,0,"",3
1000104,"盖尔斯",0,"",0,0,1,0,0,"",5
1000105,"蒂尔尼",0,"",0,0,1,0,0,"理符发行人",3
1000106,"利翁内莱",0,"",0,0,1,0,0,"登艇接待员",3
1000107,"希妲",0,"",0,0,1,0,0,"",3
1000108,"",0,"",0,0,1,0,0,"",5
1000109,"离艇接待员",0,"",0,0,1,0,0,"",3
1000110,"",0,"",0,0,1,0,0,"",5
1000111,"",0,"",0,0,1,0,0,"",5
1000112,"",0,"",0,0,1,0,0,"",5
1000113,"",0,"",0,0,1,0,0,"SHOP",5
1000114,"",0,"",0,0,1,0,0,"",5
1000115,"",0,"",0,0,1,0,0,"",5
1000116,"",0,"",0,0,1,0,0,"",5
1000117,"",0,"",0,0,1,0,0,"",5
1000118,"",0,"",0,0,1,0,0,"",5
1000119,"",0,"",0,0,1,0,0,"",5
1000120,"",0,"",0,0,1,0,0,"",5
1000121,"",0,"",0,0,1,0,0,"",5
1000122,"奥诺兰",0,"",0,0,1,0,0,"",3
1000123,"贝尔特南",0,"",0,0,1,0,0,"",3
1000124,"",0,"",0,0,1,0,0,"",5
1000125,"盖伊尔哈德",0,"",0,0,1,0,0,"",3
1000126,"",0,"",0,0,1,0,0,"",5
1000127,"乌尔塔",0,"",0,0,1,0,0,"",3
1000128,"张伯伦",0,"",0,0,1,0,0,"入口守卫",3
1000129,"索琉斯",0,"",0,0,1,0,0,"",3
1000130,"",0,"",0,0,1,0,0,"",5
1000131,"",0,"",0,0,1,0,0,"",5
1000132,"",0,"",0,0,1,0,0,"",5
1000133,"",0,"",0,0,1,0,0,"",5
1000134,"埃斯特兰",0,"",0,0,1,0,0,"",3
1000135,"",0,"",0,0,1,0,0,"",5
1000136,"辛格尔",0,"",0,0,1,0,0,"陆行鸟房",3
1000137,"",0,"",0,0,1,0,0,"",5
1000138,"",0,"",0,0,1,0,0,"",5
1000139,"阿达尔哈德",0,"",0,0,1,0,0,"",3
1000140,"法尔阿厄",0,"",0,0,1,0,0,"",3
1000141,"梅玛玛",0,"",0,0,1,0,0,"",3
1000142,"",0,"",0,0,1,0,0,"",5
1000143,"",0,"",0,0,1,0,0,"",5
1000144,"",0,"",0,0,1,0,0,"",5
1000145,"",0,"",0,0,1,0,0,"",5
1000146,"伯娜迪特",0,"",0,0,1,0,0,"",3
1000147,"",0,"",0,0,1,0,0,"",5
