Index,0 [USHORT] [0xC],1 [UBYTE] [0xE],2 [UBYTE] [0xF],3 [UINT] [0x0],4 [UBYTE] [0x10],5 [UINT] [0x4],6 [UINT] [0x8],7 [BBOOL] [0x13],8 [BBOOL] [0x13],9 [UBYTE] [0x11],10 [UBYTE] [0x12]
196608,0,0,0,0,0,0,0,false,false,0,0
196609,1,13,0,0,0,0,6601,false,false,0,0
196610,2,13,0,0,0,0,6602,false,false,0,0
196611,3,13,0,0,0,0,6603,false,false,0,0
196612,4,12,0,0,0,0,6513,false,false,0,0
196613,5,12,0,0,0,0,6515,false,false,0,0
196614,6,12,0,0,0,0,6514,false,false,0,0
196615,7,13,0,0,0,0,6548,false,false,0,0
196616,8,13,0,0,0,0,6613,false,false,0,0
196617,9,13,0,0,0,0,6621,false,false,0,0
196619,11,14,0,0,0,0,6635,false,false,0,0
196620,12,15,0,0,0,0,6657,false,false,0,0
196621,13,12,0,0,0,0,6524,false,false,0,0
196622,14,15,0,0,0,0,6659,false,false,0,0
196623,15,12,0,0,0,0,6544,false,false,0,0
196624,16,12,0,0,0,0,6594,false,false,0,0
196625,17,12,0,0,0,0,6595,false,false,0,0
196626,18,12,0,0,0,0,6542,false,false,0,0
196627,19,12,0,0,3,720995,6559,false,true,0,0
196628,20,15,0,0,0,0,6656,false,false,0,0
196629,21,15,0,0,0,0,6658,false,false,0,0
196630,22,12,0,0,25,720906,7064,false,false,0,0
196631,23,12,4,8,22,721048,7065,true,false,0,1
196632,24,12,4,9,22,721048,7066,true,false,0,1
196633,25,16,0,0,0,0,6674,false,false,0,0
196634,26,16,0,0,0,0,6675,false,false,0,0
196635,27,16,0,0,0,0,6682,false,false,0,0
196636,28,12,0,0,0,0,6573,false,false,0,0
196637,29,12,0,0,0,0,6576,false,false,0,0
196638,30,15,0,0,0,0,6662,false,false,0,0
196639,31,14,0,0,0,0,6649,false,false,0,0
196640,32,15,0,0,0,0,6663,false,false,0,0
196641,33,13,0,0,0,0,6622,false,false,0,0
196642,34,13,0,0,0,0,6623,false,false,0,0
196643,35,13,0,0,0,0,6624,false,false,0,0
196644,36,13,0,0,0,0,6629,false,false,0,0
196645,37,12,4,10,22,721048,7067,true,false,0,1
196646,38,12,4,11,22,721048,7068,true,false,0,1
196647,39,12,4,12,22,721048,7069,true,false,0,1
196648,40,16,0,0,0,0,6679,false,false,0,0
196649,41,16,0,0,0,0,6680,false,false,0,0
196650,42,16,0,0,0,0,6681,false,false,0,0
196651,43,12,4,13,22,721048,7070,true,false,0,1
196652,44,12,4,14,22,721048,7071,true,false,0,1
196653,45,12,4,15,22,721048,7072,true,false,0,1
196654,46,16,0,0,0,0,6676,false,false,0,0
196655,47,16,0,0,0,0,6677,false,false,0,0
196656,48,16,0,0,0,0,6678,false,false,0,0
196657,49,12,0,0,4,0,6591,false,false,0,0
196658,50,12,0,0,5,0,6593,false,false,0,0
196659,51,12,0,0,6,0,6592,false,false,0,0
196660,52,15,0,0,7,0,6665,false,false,0,0
196661,53,12,0,0,9,0,6536,false,false,0,0
196662,54,12,0,0,0,0,6575,false,false,0,0
196663,55,12,0,0,0,0,6578,false,false,0,0
196664,56,12,0,0,0,0,6574,false,false,0,0
196665,57,12,0,0,0,0,6577,false,false,0,0
196666,58,16,0,0,0,0,6683,false,false,0,0
196667,59,16,0,0,0,0,6684,false,false,0,0
196668,60,15,0,0,8,0,6666,false,false,0,0
196669,61,12,0,0,10,0,6537,false,false,0,0
196670,62,12,0,0,0,0,6523,false,false,0,0
196671,63,12,0,0,0,0,6533,false,false,0,0
196672,64,12,0,0,0,0,6579,false,false,0,0
196673,65,12,0,0,0,0,6596,false,false,0,0
196674,66,14,0,0,0,0,6650,false,false,0,0
196675,67,13,0,0,0,0,6610,false,false,0,0
196676,68,12,0,0,0,0,6519,false,false,0,0
196677,69,13,0,0,0,0,6625,false,false,0,0
196678,70,15,0,0,0,0,6664,false,false,0,0
196679,71,12,0,0,0,0,6597,false,false,0,0
196680,72,12,0,0,0,0,6590,false,false,0,0
196681,73,13,0,0,0,0,6634,false,false,0,0
196682,74,12,0,0,0,0,6598,false,false,0,0
196683,75,12,0,0,0,0,6552,false,false,0,0
196684,76,13,0,0,0,0,6619,false,false,0,0
196685,77,12,0,0,0,0,6520,false,false,0,0
196686,78,13,0,0,0,0,6615,false,false,0,0
196687,79,12,0,0,0,0,6535,false,false,0,0
196688,80,12,0,0,0,0,6569,false,false,0,0
196689,81,12,0,0,0,0,6563,false,false,0,0
196690,82,12,0,0,0,0,6586,false,false,0,0
196691,83,14,0,0,0,0,6636,false,false,0,0
196692,84,14,0,0,0,0,6637,false,false,0,0
196693,85,14,0,0,0,0,6638,false,false,0,0
196694,86,13,0,0,0,0,6604,false,false,0,0
196695,87,13,0,0,0,0,6626,false,false,0,0
196696,88,12,0,0,0,0,6517,false,false,0,0
196697,89,12,0,0,0,0,6570,false,false,0,0
196698,90,13,0,0,0,0,6564,false,false,0,0
196699,91,12,0,0,0,0,6580,false,false,0,0
196700,92,14,0,0,0,0,6643,false,false,0,0
196701,93,14,0,0,0,0,6648,false,false,0,0
196702,94,13,0,0,0,0,6609,false,false,0,0
196703,95,13,0,0,0,0,6614,false,false,0,0
196704,96,13,0,0,0,0,6633,false,false,0,0
196705,97,12,0,0,0,0,6518,false,false,0,0
196706,98,12,0,0,0,0,6571,false,false,0,0
196707,99,12,0,0,0,0,6565,false,false,0,0
196708,100,12,0,0,0,0,6581,false,false,0,0
196709,101,14,0,0,0,0,6642,false,false,0,0
196710,102,15,0,0,0,0,6667,false,false,0,0
196711,103,13,0,0,0,0,6620,false,false,0,0
196712,104,12,0,0,0,0,6521,false,false,0,0
196713,105,15,0,0,0,0,6668,false,false,0,0
196714,106,15,0,0,0,0,6669,false,false,0,0
196715,107,14,0,0,0,0,6652,false,false,0,0
196716,108,15,0,0,0,0,6670,false,false,0,0
196717,109,14,0,0,0,0,6653,false,false,0,0
196718,110,14,0,0,0,0,6654,false,false,0,0
196719,111,14,0,0,0,0,6655,false,false,0,0
196720,112,12,0,0,0,721037,6587,false,false,0,0
196721,113,12,0,0,0,721037,6588,false,false,0,0
196722,114,12,0,0,0,721037,6589,false,false,0,0
196723,115,12,0,0,19,0,6599,false,false,0,0
196724,116,14,0,0,0,0,7073,false,false,0,0
196725,117,12,0,0,0,0,6526,false,false,0,0
196726,118,12,0,0,0,0,6553,false,false,0,0
196727,119,13,0,0,0,0,6538,false,false,0,0
196728,120,13,0,0,0,0,6556,false,false,0,0
196729,121,12,0,0,0,0,6545,false,false,0,0
196730,122,15,0,0,0,0,7074,false,false,0,0
196731,123,12,0,0,0,0,6527,false,false,0,0
196732,124,12,0,0,0,0,6555,false,false,0,0
196733,125,13,0,0,0,0,6540,false,false,0,0
196734,126,13,0,0,0,0,6558,false,false,0,0
196735,127,12,0,0,0,0,6547,false,false,0,0
196736,128,13,0,0,0,0,7075,false,false,0,0
196737,129,12,0,0,0,0,6528,false,false,0,0
196738,130,12,0,0,0,0,6554,false,false,0,0
196739,131,13,0,0,0,0,6539,false,false,0,0
196740,132,13,0,0,0,0,6557,false,false,0,0
196741,133,12,0,0,0,0,6546,false,false,0,0
196742,134,13,0,0,0,0,7076,false,false,0,0
196743,135,16,0,0,0,0,6685,false,false,0,0
196744,136,12,0,0,0,0,6572,false,false,0,0
196745,137,12,0,0,0,0,6516,false,false,0,0
