Index,0 Name Lower [0x0],1 [BYTE] [0x10],2 Name Plural [0x4],3 [BYTE] [0x11],4 Starts With Vowel [0x12],5 [BYTE] [0x13],6 [BYTE] [0x14],7 [BYTE] [0x15],8 Item Description [0x8],9 Name Upper [0xC],10 Icon Id [0x48],11 Item Level [0x6C],12 Required Level [0x6D],13 PvP Rank [0x6E],14 Stack Size [0x28],15 [UBYTE] [0x6F],16 Stain Index [0x2C],17 ItemUICategory Index [0x70],18 ItemSearchCategory Index [0x71],19 Rarity [0x72],20 Is HQ [0x98],21 [BBOOL] [0x98],22 Is Dyeable [0x98],23 Is Crest [0x98],24 [UBYTE] [0x73],25 Materia Count [0x74],26 [BBOOL] [0x98],27 EquipSlotCategory Index [0x75],28 Model Primary [0x18],29 Model Secondary [0x20],30 [USHORT] [0x4A],31 BaseParam Index 1 [0x76],32 Param Value 1 [0x60],33 BaseParam Index 2 [0x77],34 Param Value 2 [0x62],35 BaseParam Index 3 [0x78],36 Param Value 3 [0x64],37 BaseParam Index 4 [0x79],38 Param Value 4 [0x66],39 BaseParam Index 5 [0x7A],40 Param Value 5 [0x68],41 BaseParam Index 6 [0x7B],42 Param Value 6 [0x6A],43 ItemSpecialBonus Index [0x7C],44 BaseParam Prime HQ Index 1 [0x7D],45 Prime HQ Addition 1 [0x8D],46 BaseParam Prime HQ Index 2 [0x7E],47 Prime HQ Addition 2 [0x8E],48 BaseParam HQ Index 1 [0x7F],49 Stat HQ Addition 1 [0x8F],50 BaseParam HQ Index 2 [0x80],51 Stat HQ Addition 2 [0x90],52 BaseParam HQ Index 3 [0x81],53 Stat HQ Addition 3 [0x91],54 BaseParam HQ Index 4 [0x82],55 Stat HQ Addition 4 [0x92],56 ClassJob Index (Repairer Requirement) [0x83],57 Item Index (Repair Item Requirement) [0x40],58 ClassJob Index (Usage Requirement) [0x84],59 [UBYTE] [0x85],60 Physical Damage [0x4C],61 Magical Damage [0x4E],62 Delay (Miliseconds) [0x50],63 [UBYTE] [0x86],64 Block Rate [0x52],65 Block [0x54],66 Physical Defense [0x56],67 Magical Defense [0x58],68 [UBYTE] [0x87],69 Cooldown (Seconds) [0x5A],70 ItemAction Index [0x5C],71 Is Not Disposable [0x98],72 Is Unique [0x98],73 Is Untradeable [0x98],74 [BBOOL] [0x99],75 Vendor Price A [0x30],76 Vendor Price B [0x34],77 Vendor Price C [0x38],78 Can _ Equip [0x93],79 Can _ Equip [0x94],80 Can _ Equip [0x95],81 Can _ Equip [0x96],82 Can _ Equip [0x97],83 Can _ Equip [0x99],84 Can Males Equip [0x99],85 Can Females Equip [0x88],86 ClassJobCategory Index [0x3C],87 [UBYTE] [0x89],88 GrandCompany Index [0x8A],89 [UBYTE] [0x8B],90 ItemSeries Index [0x8C],91 BaseparamModifier Index [0x99],92 Is PvP [0x44],93 Item Index (Glamoured Item) [0x5E]
0,"",0,"",0,0,1,0,0,"","",0,0,1,0,1,0,0,0,0,0,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,0,0,3,0,0,false,0,0
1,"金币",0,"",0,0,1,0,0,"艾欧泽亚流通最为广泛的圆形国际都市通用货币。","金币",61472,1,1,0,999999999,16,0,63,0,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,0,0,0,false,false,false,false,false,false,false,0,99,0,3,0,0,false,0,0
2,"火之碎晶",0,"",0,0,1,0,0,"火媒介的小结晶。","火之碎晶",20001,1,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,6,9,13,false,false,false,false,false,false,false,0,38,0,0,0,0,false,0,0
3,"冰之碎晶",0,"",0,0,1,0,0,"冰媒介的小结晶。","冰之碎晶",20003,1,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,6,9,13,false,false,false,false,false,false,false,0,37,0,0,0,0,false,0,0
4,"风之碎晶",0,"",0,0,1,0,0,"风媒介的小结晶。","风之碎晶",20004,1,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,6,9,13,false,false,false,false,false,false,false,0,36,0,0,0,0,false,0,0
5,"土之碎晶",0,"",0,0,1,0,0,"土媒介的小结晶。","土之碎晶",20006,1,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,6,9,13,false,false,false,false,false,false,false,0,35,0,0,0,0,false,0,0
6,"雷之碎晶",0,"",0,0,1,0,0,"雷媒介的小结晶。","雷之碎晶",20005,1,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,6,9,13,false,false,false,false,false,false,false,0,34,0,0,0,0,false,0,0
7,"水之碎晶",0,"",0,0,1,0,0,"水媒介的小结晶。","水之碎晶",20002,1,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,6,9,13,false,false,false,false,false,false,false,0,33,0,0,0,0,false,0,0
8,"火之水晶",0,"",0,0,1,0,0,"火媒介的结晶。","火之水晶",20007,25,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,128,229,472,false,false,false,false,false,false,false,0,28,0,0,0,0,false,0,0
9,"冰之水晶",0,"",0,0,1,0,0,"冰媒介的结晶。","冰之水晶",20009,25,1,0,9999,11,0,59,58,1,false,false,false,false,0,0,false,0,"0, 0, 0, 0","0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false,false,false,false,128,229,472,false,false,false,false,false,false,false,0,27,0,0,0,0,false,0,0
