Index,0 [STRING] [0x0],1 [UBYTE] [0x4],2 [UBYTE] [0x5],3 [UBYTE] [0x6],4 [UBYTE] [0x7],5 [UBYTE] [0x8],6 [BBOOL] [0xD],7 [BYTE] [0xC],8 [UBYTE] [0x9],9 [UBYTE] [0xA],10 [UBYTE] [0xB]
0,"",0,0,0,0,0,false,-1,0,0,0
1,"绿宝石兽",9,10,11,12,0,false,-1,0,0,0
2,"黄宝石兽",13,14,15,16,0,false,-1,0,0,0
3,"伊弗利特之灵",27,28,29,30,31,false,0,1,2,3
4,"泰坦之灵",22,23,24,25,26,false,1,1,2,3
5,"迦楼罗之灵",17,18,19,20,21,false,2,1,2,3
6,"朝日小仙女",32,33,34,35,0,false,-1,0,0,0
7,"夕月小仙女",36,37,38,39,0,false,-1,0,0,0
8,"车式浮空炮塔",0,0,0,0,0,true,-1,0,0,0
9,"象式浮空炮塔",0,0,0,0,0,true,-1,0,0,0
